pincode,state,latitude,longitude
323023,Rajasthan,25.57764816,75.50217438
323024,Rajasthan,25.48174667,75.55736542
323025,Rajasthan,25.65860367,75.50460815
323603,Rajasthan,25.64427757,76.20740509
323613,Rajasthan,25.72842979,76.19477081
323801,Rajasthan,25.78650093,75.86927795
323802,Rajasthan,25.68164444,75.74352264
324002,Rajasthan,25.20482063,75.879776
324004,Rajasthan,25.13916016,75.87609863
324005,Rajasthan,25.14757729,75.84747314
324006,Rajasthan,25.17510986,75.83955383
324007,Rajasthan,25.1666069,75.84928894
324009,Rajasthan,25.1524601,75.83041382
325001,Rajasthan,25.09494019,75.98458862
325003,Rajasthan,24.9981041,75.91540527
325004,Rajasthan,25.545084,76.41241455
325205,Rajasthan,25.07804108,76.52111053
325208,Rajasthan,25.16550636,76.19139099
325219,Rajasthan,24.75268173,76.67696381
325220,Rajasthan,24.62255859,76.90452576
325221,Rajasthan,24.55361176,76.66703033
325602,Rajasthan,24.88941765,76.14610291
326022,Rajasthan,24.33144379,76.27231598
326033,Rajasthan,24.42544746,76.53160858
326036,Rajasthan,24.33080292,76.13352203
326512,Rajasthan,24.29195976,75.83438873
326515,Rajasthan,23.92447853,75.57753754
326516,Rajasthan,23.91123962,75.65005493
326518,Rajasthan,24.76584435,75.88499451
326519,Rajasthan,24.63920021,75.96294403
326520,Rajasthan,24.72943878,75.95400238
327021,Rajasthan,23.81591034,74.28502655
327022,Rajasthan,23.58298302,74.15581512
327025,Rajasthan,23.58486938,74.28755188
327026,Rajasthan,23.63223648,74.50164795
327601,Rajasthan,23.29936981,74.18338013
327602,Rajasthan,23.25156212,74.29290771
327605,Rajasthan,23.71692848,74.22171783
327606,Rajasthan,23.34852409,74.29798126
328001,Rajasthan,26.70209694,77.90449524
328025,Rajasthan,26.89800072,78.17327118
328027,Rajasthan,26.80752563,77.76171875
331001,Rajasthan,28.31437492,74.9563446
331022,Rajasthan,28.06781578,74.62992096
331023,Rajasthan,28.683321,75.30677795
331028,Rajasthan,28.34223747,75.26721954
331030,Rajasthan,28.20330048,75.04836273
331302,Rajasthan,28.86394501,74.87065887
331304,Rajasthan,28.6549263,75.01293182
331305,Rajasthan,28.4638958,75.49640656
331403,Rajasthan,28.43923569,74.47470856
331502,Rajasthan,27.81780624,74.44278717
331503,Rajasthan,27.80460167,74.4043045
331507,Rajasthan,27.69137001,74.45281982
331518,Rajasthan,27.58082199,74.05461121
331802,Rajasthan,28.06597519,74.40870667
331803,Rajasthan,28.07659531,74.02137756
332021,Rajasthan,27.48998642,75.12245941
332025,Rajasthan,27.37823486,74.93754578
332029,Rajasthan,27.67626762,74.7678299
332042,Rajasthan,27.57165718,75.02384186
332301,Rajasthan,27.97652626,74.9506073
332307,Rajasthan,28.07156563,75.0871048
332311,Rajasthan,27.83244896,75.02610016
332318,Rajasthan,27.79019165,74.83343506
332401,Rajasthan,27.90753937,75.133461
332402,Rajasthan,27.47505379,75.38711548
332404,Rajasthan,27.40410805,75.48786163
332701,Rajasthan,27.43031311,75.82463074
